state,county,tract,block,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110102,3000,146,135,133,2,7,4,52,36,103,110102,3000,361031101023000,146,0.9246575342465754,0.0136986301369863,0.04794520547945205,0.0273972602739726,0.3561643835616438
36,103,110102,3001,233,219,217,8,3,1,85,36,103,110102,3001,361031101023001,233,0.9399141630901288,0.034334763948497854,0.012875536480686695,0.004291845493562232,0.3648068669527897
36,103,110102,3002,17,17,17,0,0,0,6,36,103,110102,3002,361031101023002,17,1.0,0.0,0.0,0.0,0.35294117647058826
36,103,110102,3003,8,8,4,4,0,0,2,36,103,110102,3003,361031101023003,8,1.0,0.5,0.0,0.0,0.25
36,103,110102,3004,49,49,49,0,0,0,13,36,103,110102,3004,361031101023004,49,1.0,0.0,0.0,0.0,0.2653061224489796
36,103,110102,3005,31,31,31,0,0,0,10,36,103,110102,3005,361031101023005,31,1.0,0.0,0.0,0.0,0.3225806451612903
36,103,110102,3006,42,41,41,0,0,1,15,36,103,110102,3006,361031101023006,42,0.9761904761904762,0.0,0.0,0.023809523809523808,0.35714285714285715
36,103,110102,3007,200,188,184,4,2,9,72,36,103,110102,3007,361031101023007,200,0.94,0.02,0.01,0.045,0.36
36,103,110102,3008,116,113,110,3,2,0,40,36,103,110102,3008,361031101023008,116,0.9741379310344828,0.02586206896551724,0.017241379310344827,0.0,0.3448275862068966
36,103,110102,3009,30,30,30,0,0,0,11,36,103,110102,3009,361031101023009,30,1.0,0.0,0.0,0.0,0.36666666666666664
36,103,110102,3010,17,17,17,0,0,0,7,36,103,110102,3010,361031101023010,17,1.0,0.0,0.0,0.0,0.4117647058823529
36,103,110102,3011,66,66,66,0,0,0,23,36,103,110102,3011,361031101023011,66,1.0,0.0,0.0,0.0,0.3484848484848485
36,103,110102,3012,16,15,12,3,1,0,4,36,103,110102,3012,361031101023012,16,0.9375,0.1875,0.0625,0.0,0.25
36,103,110102,3013,71,65,57,8,2,4,22,36,103,110102,3013,361031101023013,71,0.9154929577464789,0.11267605633802817,0.028169014084507043,0.056338028169014086,0.30985915492957744
36,103,110102,4000,0,0,0,0,0,0,0,36,103,110102,4000,361031101024000,0,0.0,0.0,0.0,0.0,0.0
36,103,110102,4001,5,4,4,0,1,0,0,36,103,110102,4001,361031101024001,5,0.8,0.0,0.2,0.0,0.0
36,103,110102,4002,86,85,83,2,0,0,20,36,103,110102,4002,361031101024002,86,0.9883720930232558,0.023255813953488372,0.0,0.0,0.23255813953488372
36,103,110102,4003,110,110,104,6,0,0,33,36,103,110102,4003,361031101024003,110,1.0,0.05454545454545454,0.0,0.0,0.3
36,103,110102,4004,47,44,41,3,3,0,16,36,103,110102,4004,361031101024004,47,0.9361702127659575,0.06382978723404255,0.06382978723404255,0.0,0.3404255319148936
36,103,110102,4005,161,157,151,6,2,0,54,36,103,110102,4005,361031101024005,161,0.9751552795031055,0.037267080745341616,0.012422360248447204,0.0,0.33540372670807456
36,103,110102,4006,52,52,52,0,0,0,15,36,103,110102,4006,361031101024006,52,1.0,0.0,0.0,0.0,0.28846153846153844
36,103,110102,4007,28,28,27,1,0,0,10,36,103,110102,4007,361031101024007,28,1.0,0.03571428571428571,0.0,0.0,0.35714285714285715
36,103,110102,4008,321,304,292,16,6,4,101,36,103,110102,4008,361031101024008,321,0.9470404984423676,0.04984423676012461,0.018691588785046728,0.012461059190031152,0.3146417445482866
36,103,110102,4009,60,53,51,4,3,0,17,36,103,110102,4009,361031101024009,60,0.8833333333333333,0.06666666666666667,0.05,0.0,0.2833333333333333
36,103,110102,4010,23,19,19,0,4,0,5,36,103,110102,4010,361031101024010,23,0.8260869565217391,0.0,0.17391304347826086,0.0,0.21739130434782608
36,103,110102,4011,40,40,39,1,0,0,9,36,103,110102,4011,361031101024011,40,1.0,0.025,0.0,0.0,0.225
36,103,110102,4012,113,110,106,4,3,0,27,36,103,110102,4012,361031101024012,113,0.9734513274336283,0.035398230088495575,0.02654867256637168,0.0,0.23893805309734514
36,103,110102,4013,55,52,50,2,1,0,19,36,103,110102,4013,361031101024013,55,0.9454545454545454,0.03636363636363636,0.01818181818181818,0.0,0.34545454545454546
36,103,110102,4014,2,2,2,0,0,0,1,36,103,110102,4014,361031101024014,2,1.0,0.0,0.0,0.0,0.5
36,103,110200,1000,0,0,0,0,0,0,0,36,103,110200,1000,361031102001000,0,0.0,0.0,0.0,0.0,0.0
36,103,110200,1001,0,0,0,0,0,0,0,36,103,110200,1001,361031102001001,0,0.0,0.0,0.0,0.0,0.0
36,103,110200,1002,0,0,0,0,0,0,0,36,103,110200,1002,361031102001002,0,0.0,0.0,0.0,0.0,0.0
36,103,110200,1003,60,55,54,1,5,0,26,36,103,110200,1003,361031102001003,60,0.9166666666666666,0.016666666666666666,0.08333333333333333,0.0,0.43333333333333335
36,103,110200,1004,20,20,20,0,0,0,8,36,103,110200,1004,361031102001004,20,1.0,0.0,0.0,0.0,0.4
36,103,110200,1005,93,91,91,0,1,1,37,36,103,110200,1005,361031102001005,93,0.978494623655914,0.0,0.010752688172043012,0.010752688172043012,0.3978494623655914
36,103,110200,1006,5,5,5,0,0,0,2,36,103,110200,1006,361031102001006,5,1.0,0.0,0.0,0.0,0.4
36,103,110200,1007,9,9,8,1,0,0,3,36,103,110200,1007,361031102001007,9,1.0,0.1111111111111111,0.0,0.0,0.3333333333333333
36,103,110200,1008,2,2,2,0,0,0,1,36,103,110200,1008,361031102001008,2,1.0,0.0,0.0,0.0,0.5
36,103,110200,1009,193,187,174,13,0,5,67,36,103,110200,1009,361031102001009,193,0.9689119170984456,0.06735751295336788,0.0,0.025906735751295335,0.3471502590673575
36,103,110200,1010,24,22,17,5,1,0,7,36,103,110200,1010,361031102001010,24,0.9166666666666666,0.20833333333333334,0.041666666666666664,0.0,0.2916666666666667
36,103,110200,1011,24,23,21,2,0,1,8,36,103,110200,1011,361031102001011,24,0.9583333333333334,0.08333333333333333,0.0,0.041666666666666664,0.3333333333333333
36,103,110200,1012,33,33,33,0,0,0,10,36,103,110200,1012,361031102001012,33,1.0,0.0,0.0,0.0,0.30303030303030304
36,103,110200,1013,389,360,347,18,10,4,132,36,103,110200,1013,361031102001013,389,0.9254498714652957,0.04627249357326478,0.02570694087403599,0.010282776349614395,0.3393316195372751
36,103,110200,1014,1,1,1,0,0,0,0,36,103,110200,1014,361031102001014,1,1.0,0.0,0.0,0.0,0.0
36,103,110200,1015,28,20,20,0,7,1,7,36,103,110200,1015,361031102001015,28,0.7142857142857143,0.0,0.25,0.03571428571428571,0.25
36,103,110200,1016,105,104,100,5,0,1,41,36,103,110200,1016,361031102001016,105,0.9904761904761905,0.047619047619047616,0.0,0.009523809523809525,0.3904761904761905
36,103,110200,1017,11,11,11,0,0,0,5,36,103,110200,1017,361031102001017,11,1.0,0.0,0.0,0.0,0.45454545454545453
36,103,110200,2000,301,273,264,18,14,1,88,36,103,110200,2000,361031102002000,301,0.9069767441860465,0.059800664451827246,0.046511627906976744,0.0033222591362126247,0.292358803986711
36,103,110200,2001,64,64,63,1,0,0,22,36,103,110200,2001,361031102002001,64,1.0,0.015625,0.0,0.0,0.34375
36,103,110200,2002,52,48,44,4,1,0,17,36,103,110200,2002,361031102002002,52,0.9230769230769231,0.07692307692307693,0.019230769230769232,0.0,0.3269230769230769
36,103,110200,2003,73,71,69,3,1,0,27,36,103,110200,2003,361031102002003,73,0.9726027397260274,0.0410958904109589,0.0136986301369863,0.0,0.3698630136986301
36,103,110200,2004,32,32,31,1,0,0,11,36,103,110200,2004,361031102002004,32,1.0,0.03125,0.0,0.0,0.34375
36,103,110200,2005,21,21,21,0,0,0,9,36,103,110200,2005,361031102002005,21,1.0,0.0,0.0,0.0,0.42857142857142855
36,103,110200,2006,24,24,24,0,0,0,9,36,103,110200,2006,361031102002006,24,1.0,0.0,0.0,0.0,0.375
36,103,110200,2007,59,59,59,0,0,0,25,36,103,110200,2007,361031102002007,59,1.0,0.0,0.0,0.0,0.423728813559322
36,103,110200,2008,87,85,85,0,2,0,27,36,103,110200,2008,361031102002008,87,0.9770114942528736,0.0,0.022988505747126436,0.0,0.3103448275862069
36,103,110200,2009,74,68,68,0,5,0,31,36,103,110200,2009,361031102002009,74,0.918918918918919,0.0,0.06756756756756757,0.0,0.4189189189189189
36,103,110200,2010,101,96,94,2,4,1,17,36,103,110200,2010,361031102002010,101,0.9504950495049505,0.019801980198019802,0.039603960396039604,0.009900990099009901,0.16831683168316833
36,103,110200,2011,55,54,53,1,1,0,18,36,103,110200,2011,361031102002011,55,0.9818181818181818,0.01818181818181818,0.01818181818181818,0.0,0.32727272727272727
36,103,110200,2012,0,0,0,0,0,0,0,36,103,110200,2012,361031102002012,0,0.0,0.0,0.0,0.0,0.0
36,103,110200,2013,0,0,0,0,0,0,0,36,103,110200,2013,361031102002013,0,0.0,0.0,0.0,0.0,0.0
36,103,110200,2014,27,24,23,1,0,3,0,36,103,110200,2014,361031102002014,27,0.8888888888888888,0.037037037037037035,0.0,0.1111111111111111,0.0
36,103,110200,3000,33,33,33,0,0,0,10,36,103,110200,3000,361031102003000,33,1.0,0.0,0.0,0.0,0.30303030303030304
36,103,110200,3001,14,13,13,0,1,0,7,36,103,110200,3001,361031102003001,14,0.9285714285714286,0.0,0.07142857142857142,0.0,0.5
36,103,110200,3002,40,40,39,1,0,0,17,36,103,110200,3002,361031102003002,40,1.0,0.025,0.0,0.0,0.425
36,103,110200,3003,177,169,157,20,0,0,60,36,103,110200,3003,361031102003003,177,0.9548022598870056,0.11299435028248588,0.0,0.0,0.3389830508474576
